Plot,Treatment,CF14_Seeds,CF14_AWeight,CF14_Date,CF14_Day,CM14_Seeds,CM14_AWeight,CM14_Date,CM14_Day,CM15_DiscDiameter,CM15_RayDiameter,RDN15_Seeds,RDN15_AWeight,SW15_Seeds,SW15_AWeight,CW15_Seeds,CW15_AWeight,CF15_Seeds,CF15_AWeight,CM15_Seeds,CM15_AWeight,CM15_Date,CM15_Day,CF15_Nectar,RDN15_Nectar,SW15_Nectar
10,Heat+Water,23,0.001943478,15/07/2014,196,NA,NA,NA,NA,15,36.4,4,0.000875,18,0.000666667,18,0.000283333,20,0.00263,181,0.000969061,10/08/2015,222,0.105919003,NA,NA
10,Heat+Water,23,0.003256522,15/07/2014,196,NA,NA,NA,NA,9.2,26.5,NA,NA,22,0.000677273,12,0.000358333,NA,NA,305,0.001413443,13/08/2015,225,0.031152648,NA,NA
10,Heat+Water,28,0.005464286,15/07/2014,196,NA,NA,NA,NA,11.3,29.4,NA,NA,16,0.00085625,15,0.00028,NA,NA,209,0.0012,13/08/2015,225,NA,NA,NA
10,Heat+Water,16,0.0045125,23/07/2014,204,NA,NA,NA,NA,12,34.5,NA,NA,NA,NA,NA,NA,NA,NA,234,0.001376068,13/08/2015,225,NA,NA,NA
10,Heat+Water,28,0.004689286,23/07/2014,204,NA,NA,NA,NA,13.7,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Heat+Water,18,0.004655556,23/07/2014,204,NA,NA,NA,NA,13,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Heat+Water,14,0.003921429,23/07/2014,204,NA,NA,NA,NA,10.7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Heat+Water,23,0.006282609,23/07/2014,204,NA,NA,NA,NA,10.5,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Heat,22,0.003172727,15/07/2014,196,329,0.000859878,31/07/2014,212,13,42.6,4,0.0008,4,0.000225,NA,NA,19,0.0022,275,0.002118545,10/08/2015,222,0.046728972,NA,0.107632399
11,Heat,28,0.003817857,15/07/2014,196,341,0.001214956,31/07/2014,212,16.1,41.4,4,0.000625,18,0.000666667,11,0.0002,21,0.003838095,209,0.000684211,10/08/2015,222,0.059190031,NA,0.013862928
11,Heat,24,0.003104167,15/07/2014,196,378,0.001193651,31/07/2014,212,11.4,40,4,0.0009,15,0.00052,14,0.00025,18,0.0026,313,0.001375719,10/08/2015,222,0.197819315,NA,NA
11,Heat,18,0.003066667,15/07/2014,196,284,0.000995423,14/08/2014,226,10.9,35.8,NA,NA,15,0.0006,14,0.000442857,NA,NA,283,0.001630035,13/08/2015,225,0.109034268,NA,NA
11,Heat,22,0.003695455,15/07/2014,196,317,0.001009148,14/08/2014,226,10.8,27.6,NA,NA,21,0.000638095,5,0.00036,NA,NA,229,0.001399127,13/08/2015,225,0.091900312,NA,NA
11,Heat,23,0.003613043,23/07/2014,204,314,0.00091242,14/08/2014,226,10.9,30,NA,NA,NA,NA,NA,NA,NA,NA,264,0.001227273,13/08/2015,225,NA,NA,NA
11,Heat,26,0.0053,23/07/2014,204,NA,NA,NA,NA,11,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Heat,20,0.00491,23/07/2014,204,NA,NA,NA,NA,13.3,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Heat,16,0.0055375,23/07/2014,204,NA,NA,NA,NA,12.7,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Heat,17,0.004194118,23/07/2014,204,NA,NA,NA,NA,13,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Heat+Water,16,0.003375,15/07/2014,196,201,0.001625871,31/07/2014,212,14,29,3,0.000833333,22,0.000736364,5,0.00032,23,0.003052174,221,0.000873756,10/08/2015,222,0.015576324,NA,0.053894081
12,Heat+Water,17,0.002576471,15/07/2014,196,244,0.001079508,31/07/2014,212,12.2,32,4,0.0002,20,0.000665,9,0.000266667,26,0.003061538,300,0.001247333,10/08/2015,222,0.294392523,NA,0.053426791
12,Heat+Water,22,0.003959091,15/07/2014,196,230,0.000831739,31/07/2014,212,10.6,25,4,0.0006,21,0.00042381,10,0.00015,25,0.003108,266,0.000919549,10/08/2015,222,NA,NA,NA
12,Heat+Water,21,0.003795238,15/07/2014,196,160,0.000919375,14/08/2014,226,12.5,31.6,4,0.000375,13,0.000876923,5,0.00026,NA,NA,185,0.001008649,13/08/2015,225,NA,NA,NA
12,Heat+Water,22,0.004009091,15/07/2014,196,165,0.000932727,14/08/2014,226,13.6,32.7,4,0.00065,13,0.000661538,14,0.000407143,NA,NA,260,0.000851154,13/08/2015,225,NA,NA,NA
12,Heat+Water,17,0.002594118,23/07/2014,204,190,0.000976316,14/08/2014,226,11,29.3,NA,NA,NA,NA,NA,NA,NA,NA,210,0.001291429,13/08/2015,225,NA,NA,NA
12,Heat+Water,24,0.003883333,23/07/2014,204,NA,NA,NA,NA,10.9,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Heat+Water,20,0.003475,23/07/2014,204,NA,NA,NA,NA,12.1,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Heat+Water,19,0.003031579,23/07/2014,204,NA,NA,NA,NA,9,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Heat+Water,22,0.004081818,23/07/2014,204,NA,NA,NA,NA,11.1,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Heat+Water,21,0.001485714,15/07/2014,196,258,0.000911628,31/07/2014,212,10.9,31.1,1,0.0002,14,0.000357143,12,0.000258333,13,0.001423077,254,0.00155748,10/08/2015,222,NA,NA,NA
13,Heat+Water,11,0.0022,15/07/2014,196,197,0.000707614,31/07/2014,212,14.3,37.3,3,0.000933333,15,0.000293333,9,0.000588889,17,0.001841176,211,0.000818483,10/08/2015,222,NA,NA,NA
13,Heat+Water,19,0.002184211,15/07/2014,196,244,0.00082541,31/07/2014,212,15.6,37.5,3,0.000666667,17,0.000705882,16,0.00058125,16,0.00180625,237,0.001058228,10/08/2015,222,NA,NA,NA
13,Heat+Water,22,0.00335,15/07/2014,196,301,0.000895017,14/08/2014,226,14.2,36.9,3,0.0008,7,0.000628571,13,0.0005,NA,NA,189,0.001031746,13/08/2015,225,NA,NA,NA
13,Heat+Water,29,0.003531034,15/07/2014,196,212,0.000632547,14/08/2014,226,15,32.9,4,0.00065,16,0.0010375,5,0.0007,NA,NA,258,0.001306202,13/08/2015,225,NA,NA,NA
13,Heat+Water,20,0.00259,23/07/2014,204,224,0.000824107,14/08/2014,226,14.8,39.7,NA,NA,NA,NA,NA,NA,NA,NA,283,0.000777385,13/08/2015,225,NA,NA,NA
13,Heat+Water,21,0.002495238,23/07/2014,204,NA,NA,NA,NA,13.7,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
